,ellipse,diameter,location,confidence,timestamp
408,"{'center': (319.3950424194336, 233.04317474365234), 'axes': (104.46322631835938, 105.0184097290039), 'angle': 81.57729339599611}",105.0184097290039,"(319.3950424194336, 233.04317474365234)",1.0,6.8
409,"{'center': (319.43592071533203, 232.42957305908203), 'axes': (104.31332397460938, 105.08419036865234), 'angle': 76.90738677978514}",105.08419036865234,"(319.43592071533203, 232.42957305908203)",1.0,6.816666666666666
410,"{'center': (319.43113708496094, 231.83332061767578), 'axes': (104.21768951416016, 104.9438705444336), 'angle': 77.09571075439453}",104.9438705444336,"(319.43113708496094, 231.83332061767578)",1.0,6.833333333333333
411,"{'center': (319.47357177734375, 231.1766128540039), 'axes': (103.92691040039062, 105.01068115234375), 'angle': 77.1814651489258}",105.01068115234375,"(319.47357177734375, 231.1766128540039)",1.0,6.85
412,"{'center': (319.4013977050781, 230.54010009765625), 'axes': (103.68923950195312, 104.98072052001953), 'angle': 84.7766799926758}",104.98072052001953,"(319.4013977050781, 230.54010009765625)",1.0,6.866666666666666
413,"{'center': (319.4004669189453, 229.93134307861328), 'axes': (103.65406799316406, 104.95396423339844), 'angle': 79.38727569580078}",104.95396423339844,"(319.4004669189453, 229.93134307861328)",1.0,6.883333333333334
414,"{'center': (319.4474639892578, 229.32374572753906), 'axes': (103.33358764648438, 104.90501403808594), 'angle': 83.75423431396484}",104.90501403808594,"(319.4474639892578, 229.32374572753906)",1.0,6.9
415,"{'center': (319.4400863647461, 228.626708984375), 'axes': (103.1390380859375, 104.94438171386719), 'angle': 85.59683227539062}",104.94438171386719,"(319.4400863647461, 228.626708984375)",1.0,6.916666666666667
416,"{'center': (319.42579650878906, 228.04163360595703), 'axes': (102.78810119628906, 104.88018035888672), 'angle': 85.10676574707033}",104.88018035888672,"(319.42579650878906, 228.04163360595703)",1.0,6.933333333333334
417,"{'center': (319.40142822265625, 227.43749237060547), 'axes': (102.66537475585938, 104.81171417236328), 'angle': 82.89453887939455}",104.81171417236328,"(319.40142822265625, 227.43749237060547)",1.0,6.95
418,"{'center': (319.4673080444336, 226.83717346191406), 'axes': (102.25962829589844, 104.78300476074219), 'angle': 87.38379669189453}",104.78300476074219,"(319.4673080444336, 226.83717346191406)",1.0,6.966666666666667
419,"{'center': (319.44068908691406, 226.17424774169922), 'axes': (102.00584411621094, 104.72171020507812), 'angle': 85.64665985107423}",104.72171020507812,"(319.44068908691406, 226.17424774169922)",1.0,6.983333333333333
420,"{'center': (319.4419631958008, 225.58486938476562), 'axes': (101.6579360961914, 104.69600677490234), 'angle': 85.93012237548828}",104.69600677490234,"(319.4419631958008, 225.58486938476562)",1.0,7.0
421,"{'center': (319.4672546386719, 224.95001983642578), 'axes': (101.50328063964844, 104.64765930175781), 'angle': 85.52821350097655}",104.64765930175781,"(319.4672546386719, 224.95001983642578)",1.0,7.016666666666667
422,"{'center': (319.43994903564453, 224.3319091796875), 'axes': (100.98306274414062, 104.73692321777344), 'angle': 86.89632415771484}",104.73692321777344,"(319.43994903564453, 224.3319091796875)",1.0,7.033333333333333
423,"{'center': (319.45343017578125, 223.70529174804688), 'axes': (100.75846099853516, 104.54605102539062), 'angle': 87.30638885498047}",104.54605102539062,"(319.45343017578125, 223.70529174804688)",1.0,7.05
424,"{'center': (319.4674835205078, 223.10041046142578), 'axes': (100.34376525878906, 104.63591003417969), 'angle': 86.7341079711914}",104.63591003417969,"(319.4674835205078, 223.10041046142578)",1.0,7.066666666666666
